kind,old_code,new_code,status,source_name,target_name,source_unit,target_unit,match_score,reason
Material,1130002,4035105,名称单位匹配,木踢脚线  150×20,木踢脚线  150×20,m,m,100,
Material,1130009,1210741,名称单位匹配,水乳型聚合物水泥基复合防水涂料,水乳型聚合物水泥基复合防水涂料,kg,kg,100,
Material,1130016,1084473,名称单位匹配,彩色水泥自流平涂料,彩色水泥自流平涂料,kg,kg,100,
Material,1130018,1182521,人工审核使用best_candidate,水性封底漆（普通）,水性封底漆,kg,kg,100,1=使用best_candidate
Material,1130019,1180505,名称单位匹配,水性中间（层）涂料,水性中间（层）涂料,kg,kg,100,
Material,1130020,1182605,规范化名称匹配,复层涂料骨浆（喷涂型）,复层涂料骨浆(喷涂型),kg,kg,98,
Material,1130021,1182689,规范化名称匹配,水性耐候面漆（半光型）,水性耐候面漆(半光型),kg,kg,98,
Material,1130022,1180589,名称单位匹配,仿石涂料,仿石涂料,kg,kg,100,
Material,1130023,1182773,名称单位匹配,丙烯酸封底漆,丙烯酸封底漆,kg,kg,100,
Material,1130024,1180673,名称单位匹配,丙烯酸弹性高级涂料,丙烯酸弹性高级涂料,kg,kg,100,
Material,1130025,1172959,名称单位匹配,水乳型橡胶沥青,水乳型橡胶沥青,kg,kg,100,
Material,1130027,1209046,名称单位匹配,钢结构薄型防火涂料,钢结构薄型防火涂料,kg,kg,100,
Material,1130040,1084369,名称单位匹配,环氧地面漆自流平底漆,环氧地面漆自流平底漆,kg,kg,100,
Material,1130041,1084577,名称单位匹配,环氧地面漆自流平中涂,环氧地面漆自流平中涂,kg,kg,100,
Material,1130042,1084681,名称单位匹配,环氧地面漆自流平面涂,环氧地面漆自流平面涂,kg,kg,100,
Material,1130050,1144229,名称单位匹配,胶合板 3层,胶合板 3层,m2,m2,100,
Material,1130051,1144531,名称单位匹配,胶合板 5层,胶合板 5层,m2,m2,100,
Material,1130106,1145135,名称单位匹配,刨花板,刨花板,m2,m2,100,
Material,1130150,1145739,名称单位匹配,大芯板(细木工板),大芯板(细木工板),m2,m2,100,
Material,1130158,4030265,名称单位匹配,宝丽板,宝丽板,m2,m2,100,
Material,1130208,1147249,人工审核指定电算代号,木丝板,木丝板 1830×610×25,m2,m2,100,L列指定电算代号
Material,1130312,1147853,名称单位匹配,沥青软木,沥青软木,m3,m3,100,
Material,1130315,1140907,名称单位匹配,锯屑,锯屑,m3,m3,100,
Material,1140005,1149665,规范化名称匹配,竹钉 Φ5×40,竹钉 φ5×40,百个,百个,98,
Material,1140006,1293781,名称单位匹配,竹胶板 δ=10,竹胶板 δ=10,m2,m2,100,
Material,1150001,1268401,名称单位匹配,草席 1.34m×2m,草席 1.34m×2m,张,张,100,
Material,1150004,1268801,名称单位匹配,草帘 1.0m×1.8m,草帘 1.0m×1.8m,条,条,100,
Material,1150005,1269201,名称单位匹配,草袋 600×900,草袋 600×900,条,条,100,
Material,1150006,1269601,名称单位匹配,草袋片,草袋片,m2,m2,100,
Material,1160010,1050001,名称单位匹配,纸筋,纸筋,kg,kg,100,
Material,1160011,1050125,名称单位匹配,油麻,油麻,kg,kg,100,
Material,1160012,1050497,名称单位匹配,麻筋,麻筋,kg,kg,100,
Material,1160013,1050621,名称单位匹配,麻刀,麻刀,kg,kg,100,
Material,1160014,1054713,名称单位匹配,油麻绳,油麻绳,kg,kg,100,
Material,1170010,1040801,人工审核使用best_candidate,无纺布 14g/m2,聚酯无纺土工布 100g/m2,m2,m2,100,1=使用best_candidate
Material,1170056,1262801,名称单位匹配,草皮,草皮,m2,m2,100,
Material,1200008,1171191,名称单位匹配,聚合物乳液,聚合物乳液,kg,kg,100,
Material,1200010,1090741,名称单位匹配,石墨碳心 130×250,石墨碳心 130×250,根,根,100,
Material,1200011,1091111,名称单位匹配,木炭末,木炭末,kg,kg,100,
Material,1200014,1090001,名称单位匹配,生石灰,生石灰,kg,kg,100,
Material,1200027,1083849,人工审核使用best_candidate,干混料（水泥沥青砂浆用）,干混料,t,t,100,1=使用best_candidate
Material,1210002,1099251,名称单位匹配,膨润土,膨润土,kg,kg,100,
Material,1210004,1098141,名称单位匹配,黏土,黏土,m3,m3,100,
Material,1210016,1098511,名称单位匹配,黏土(钻孔桩用),黏土(钻孔桩用),m3,m3,100,
Material,1210020,1094441,人工审核使用best_candidate,矿渣粉(高性能混凝土),矿渣粉,kg,kg,100,1=使用best_candidate
Material,1230001,1084785,名称单位匹配,粗料石,粗料石,m3,m3,100,
Material,1230003,1084993,名称单位匹配,毛方石,毛方石,m3,m3,100,
Material,1230005,1085097,名称单位匹配,块石,块石,m3,m3,100,
Material,1230006,1085201,名称单位匹配,片石,片石,m3,m3,100,
Material,1240009,1086345,人工审核指定电算代号,碎石 20以内,碎石 ≤20 (圬工用),m3,m3,100,L列指定电算代号
Material,1240010,1085929,人工审核指定电算代号,碎石,碎石 ≤25（填筑用）,m3,m3,100,L列指定电算代号
Material,1240011,1086241,人工审核指定电算代号,碎石 16以内,碎石 ≤16 (圬工用),m3,m3,100,L列指定电算代号
Material,1240012,1086449,人工审核指定电算代号,碎石 25以内,碎石 ≤25 (圬工用),m3,m3,100,L列指定电算代号
Material,1240013,1086553,人工审核指定电算代号,碎石 31.5以内,碎石 ≤31.5 (圬工用),m3,m3,100,L列指定电算代号
Material,1240014,1086657,人工审核指定电算代号,碎石 40以内,碎石 ≤40 (圬工用),m3,m3,100,L列指定电算代号
Material,1240015,1086761,人工审核使用best_candidate,碎石 63以内,碎石 ≤63 (圬工用),m3,m3,100,1=使用best_candidate
Material,1240016,1086865,人工审核指定电算代号,碎石 80以内,碎石 ≤80 (圬工用),m3,m3,100,L列指定电算代号
Material,1240022,1086241,人工审核指定电算代号,碎石 16以内(高性能混凝土),碎石 ≤16 (圬工用),m3,m3,100,L列指定电算代号
Material,1240023,1086449,人工审核指定电算代号,碎石 25以内(高性能混凝土),碎石 ≤25 (圬工用),m3,m3,100,L列指定电算代号
Material,1240024,1086553,人工审核指定电算代号,碎石 31.5以内(高性能混凝土),碎石 ≤31.5 (圬工用),m3,m3,100,L列指定电算代号
Material,1240025,1086657,人工审核指定电算代号,碎石 40以内(高性能混凝土),碎石 ≤40 (圬工用),m3,m3,100,L列指定电算代号
Material,1240030,1086345,人工审核指定电算代号,碎石 20以内(高性能混凝土),碎石 ≤20 (圬工用),m3,m3,100,L列指定电算代号
Material,1240111,1088113,人工审核使用best_candidate,卵石 25以内,卵石 ≤25（填筑用）,m3,m3,100,1=使用best_candidate
Material,1240113,1088321,人工审核使用best_candidate,卵石 40以内,卵石 ≤40（填筑用）,m3,m3,100,1=使用best_candidate
Material,1240115,1088321,人工审核指定电算代号,卵石 80以内,卵石 ≤40（填筑用）,m3,m3,100,L列指定电算代号
Material,1240118,1088425,名称单位匹配,天然级配砂（砾）卵石,天然级配砂（砾）卵石,m3,m3,100,
Material,1240119,1087593,人工审核使用best_candidate,级配砾石 40以内,级配砾石 ≤40,m3,m3,100,1=使用best_candidate
Material,1240120,1089881,名称单位匹配,石屑,石屑,m3,m3,100,
Material,1240121,1080001,名称单位匹配,砂砾,砂砾,m3,m3,100,
Material,1250012,4031871,名称单位匹配,天然大理石板 δ=20,天然大理石板 δ=20,m2,m2,100,
Material,1250014,4031893,名称单位匹配,大理石板 1000×1000,大理石板 1000×1000,m2,m2,100,
Material,1250115,4032025,名称单位匹配,花岗岩板 光面 δ=20,花岗岩板 光面 δ=20,m2,m2,100,
Material,1250116,4032047,名称单位匹配,花岗岩板 麻面 δ=20,花岗岩板 麻面 δ=20,m2,m2,100,
Material,1250118,4032091,名称单位匹配,花岗岩板 1000×1000,花岗岩板 1000×1000,m2,m2,100,
Material,1250123,4035061,规范化名称匹配,花岗岩踢脚线  150,花岗岩踢脚线 150,m,m,98,
Material,1250124,4035083,规范化名称匹配单位不同,大理石踢脚线  150,大理石踢脚线 150,m2,m,98,
Material,1250130,4032135,名称单位匹配,异形花岗石板,异形花岗石板,m2,m2,100,
Material,1250134,1250134,2024缺失，补充,青石台阶,青石台阶,m2,m2,0,低置信兜底候选，仅供人工审核，按补充处理
Material,1250137,1250137,2024缺失，补充,磨石（无砟轨道轨道板、支承块打磨用）,磨石（无砟轨道轨道板、支承块打磨用）,对,对,0,低置信兜底候选，仅供人工审核，按补充处理
Material,1250210,4032289,名称单位匹配,水磨石板材 305×305×19,水磨石板材 305×305×19,m2,m2,100,
Material,1250211,4032289,人工审核指定电算代号,预制水磨石块 彩色,水磨石板材 305×305×19,m2,m2,100,L列指定电算代号
Material,1251052,1089257,名称单位匹配,黑白石子,黑白石子,kg,kg,100,
Material,1251058,1088945,名称单位匹配,小豆石,小豆石,m3,m3,100,
Material,1251059,1089881,人工审核使用best_candidate,白石屑,石屑,kg,m3,100,1=使用best_candidate
Material,1252110,4039131,人工审核使用best_candidate,石膏板,石膏板 12 普通,m2,m2,100,1=使用best_candidate
Material,1252112,4039241,名称单位匹配,纸面石膏板 δ=12,纸面石膏板 δ=12,m2,m2,100,
Material,1252130,4039087,人工审核指定电算代号,防水石膏板,石膏板 9.5 耐水,m2,m2,100,L列指定电算代号
Material,1252134,1091851,名称单位匹配,石灰膏,石灰膏,m3,m3,100,
Material,1252150,1252150,2024缺失，补充,预制陶粒混凝土聚苯复合板,预制陶粒混凝土聚苯复合板,m2,m2,0,低置信兜底候选，仅供人工审核，按补充处理
Material,1260017,1092961,名称单位匹配,无烟煤滤料,无烟煤滤料,t,t,100,
Material,1260019,1092221,名称单位匹配,砾石滤料,砾石滤料,m3,m3,100,
Material,1260020,1081145,名称单位匹配,石英砂,石英砂,kg,kg,100,
Material,1260022,1080313,人工审核指定电算代号,中粗砂,中粗砂 (圬工用),m3,m3,100,L列指定电算代号
Material,1260023,1080105,名称单位匹配,细砂,细砂,m3,m3,100,
Material,1260024,1080313,人工审核指定电算代号,中粗砂(高性能混凝土),中粗砂 (圬工用),m3,m3,100,L列指定电算代号
Material,1260032,1082393,名称单位匹配,高强度修补砂浆,高强度修补砂浆,t,t,100,
Material,1260033,1082497,名称单位匹配,封锚砂浆,封锚砂浆,kg,kg,100,
Material,1260050,3048477,规范化名称匹配,水泥沥青砂浆注入袋(5.0m×2.4m),水泥沥青砂浆注入袋 5.0m×2.4m,个,个,98,
Material,1260128,1089777,名称单位匹配,炉渣,炉渣,m3,m3,100,
Material,1260129,1093331,名称单位匹配,粉煤灰Ⅰ级,粉煤灰Ⅰ级,t,t,100,
Material,1260131,1094071,人工审核指定电算代号,粉煤灰(非混凝土工程),粉煤灰Ⅲ级,t,t,100,L列指定电算代号
Material,1260132,1093701,人工审核指定电算代号,粉煤灰(混凝土工程),粉煤灰Ⅱ级,kg,t,100,L列指定电算代号
Material,1260133,1082601,名称匹配单位不同,重力式砂浆,重力式砂浆,m３,m3,100,
Material,1260135,1089569,名称单位匹配,黏土陶粒,黏土陶粒,m3,m3,100,
Material,1260136,1094811,名称单位匹配,石英粉 70～140目,石英粉 70～140目,kg,kg,100,
Material,1260139,1095921,名称单位匹配,石粉,石粉,kg,kg,100,
Material,1260141,1096291,名称单位匹配,滑石粉 325目,滑石粉 325目,kg,kg,100,
Material,1260144,1015019,名称单位匹配,生铁屑,生铁屑,kg,kg,100,
Material,1270010,1172789,名称单位匹配,普通石油沥青 65甲、60乙,普通石油沥青 65甲、60乙,kg,kg,100,
Material,1270011,1172823,相似名称匹配,道路石油沥青 100甲、100乙、180号,道路石油沥青 100号甲、100号乙、180号,kg,kg,98,自动采用唯一高相似候选
Material,1270012,1172857,名称单位匹配,建筑石油沥青,建筑石油沥青,kg,kg,100,
Material,1270015,1172891,名称单位匹配,软煤沥青 8号,软煤沥青 8号,kg,kg,100,
Material,1270017,1172925,名称单位匹配,乳化沥青 A液,乳化沥青 A液,kg,kg,100,
Material,1270020,1163841,名称单位匹配,木材防腐油,木材防腐油,kg,kg,100,
Material,1270021,1175135,名称单位匹配,耦合剂,耦合剂,kg,kg,100,
Material,1280008,1174625,名称单位匹配,胶合剂,胶合剂,kg,kg,100,
Material,1280009,1171157,名称单位匹配,聚醋酸乙烯乳液,聚醋酸乙烯乳液,kg,kg,100,
Material,1280010,1173231,人工审核使用best_candidate,玻璃胶,玻璃胶 310g,支,支,100,1=使用best_candidate
Material,1280011,1173265,名称单位匹配,熟胶,熟胶,kg,kg,100,
Material,1280014,1171225,人工审核使用best_candidate,过氯乙烯胶液 G98-1 G98-2,过氯乙烯胶液,kg,kg,100,1=使用best_candidate
Material,1280018,1172415,名称单位匹配,环氧树脂 E-42,环氧树脂 E-42,kg,kg,100,
Material,1280019,1172449,名称单位匹配,环氧树脂 E-44,环氧树脂 E-44,kg,kg,100,
Material,1280023,1174489,人工审核使用best_candidate,聚氨酯粘合剂,聚氨酯黏合剂,kg,kg,100,1=使用best_candidate
Material,1280024,1174115,名称单位匹配,环氧树脂胶 HN-301,环氧树脂胶 HN-301,kg,kg,100,
Material,1280025,1173299,名称单位匹配,密封胶 W-1,密封胶 W-1,kg,kg,100,
Material,1280026,1173333,名称单位匹配,401号胶,401号胶,kg,kg,100,
Material,1280027,1173367,名称单位匹配,塑美胶,塑美胶,kg,kg,100,
Material,1280029,1173435,名称单位匹配,108乳胶,108乳胶,kg,kg,100,
Material,1280036,1174727,人工审核使用best_candidate,303粘结剂,303黏结剂,kg,kg,100,1=使用best_candidate
Material,1280037,1173537,人工审核使用best_candidate,万能胶 309,309万能胶,kg,kg,100,1=使用best_candidate
Material,1280039,1177311,名称单位匹配,环氧树脂合剂,环氧树脂合剂,kg,kg,100,
Material,1280040,1174149,名称单位匹配,PVC胶,PVC胶,kg,kg,100,
Material,1280041,1171089,人工审核使用best_candidate,乙酸乙脂,乙酸乙酯,kg,kg,100,1=使用best_candidate
Material,1280044,1176971,名称单位匹配,石材养护液,石材养护液,kg,kg,100,
Material,1280045,1177005,名称单位匹配,石材保护液,石材保护液,kg,kg,100,
Material,1280046,1173571,名称单位匹配,幕墙耐候胶,幕墙耐候胶,kg,kg,100,
Material,1280048,1173639,名称单位匹配,立时得胶,立时得胶,kg,kg,100,
Material,1280049,1173673,名称单位匹配,冷封胶,冷封胶,kg,kg,100,
Material,1280050,1084265,人工审核使用best_candidate,干粉型粘结剂,干粉型黏结剂,kg,kg,100,1=使用best_candidate
Material,1280056,1173843,规范化名称匹配,结构硅酮密封胶350g,结构硅酮密封胶 350g,支,支,98,
Material,1280058,1173911,名称单位匹配,结构密缝胶,结构密缝胶,kg,kg,100,
Material,1280063,1174557,人工审核使用best_candidate,土工布粘合剂,土工布黏合剂,kg,kg,100,1=使用best_candidate
Material,1280064,1176087,名称单位匹配,模板嵌缝料,模板嵌缝料,瓶,瓶,100,
Material,1280065,1173945,名称单位匹配,锚固胶,锚固胶,kg,kg,100,
Material,1280069,1174081,名称单位匹配,抗裂乳胶,抗裂乳胶,kg,kg,100,
Material,1280080,1082289,名称匹配单位不同,干混地面砂浆 M20.0,干混地面砂浆 M20.0,t,m3,100,
Material,1280088,1177345,人工审核使用best_candidate,粘度改性材料,黏度改性材料,kg,kg,100,1=使用best_candidate
Material,1280089,1177447,名称单位匹配,界面剂,界面剂,kg,kg,100,
Material,1280090,1175305,名称单位匹配,养护剂,养护剂,kg,kg,100,
Material,1280091,1177379,名称单位匹配,界面处理剂 混凝土面,界面处理剂 混凝土面,kg,kg,100,
Material,1280092,1177413,名称单位匹配,界面处理剂 轻质墙面,界面处理剂 轻质墙面,kg,kg,100,
Material,1280096,1082809,名称单位匹配,抗裂砂浆,抗裂砂浆,kg,kg,100,
Material,1280099,1083017,名称单位匹配,膨胀玻化微珠保温型干混砂浆,膨胀玻化微珠保温型干混砂浆,m3,m3,100,
Material,1300001,1100001,相似名称匹配,标准砖 240×115×53,砖 240×115×53,千块,千块,100,自动采用唯一高相似候选
Material,1300002,1089985,名称单位匹配,碎砖,碎砖,m3,m3,100,
Material,1300060,1100661,规范化名称匹配,多孔砖  DM1  190×240×90,多孔砖 DM1 190×240×90,块,块,98,
Material,1300061,1100881,规范化名称匹配,多孔砖  DM2  190×190×90,多孔砖 DM2 190×190×90,块,块,98,
Material,1300062,1101101,规范化名称匹配,多孔砖  DM3  190×140×90,多孔砖 DM3 190×140×90,块,块,98,
Material,1300063,1101321,规范化名称匹配,多孔砖  DM4  190×90×90,多孔砖 DM4 190×90×90,块,块,98,
Material,1300064,1100221,名称单位匹配,DMp 模数砖190×90×40,DMp 模数砖190×90×40,块,块,100,
Material,1300066,1101981,名称单位匹配,页岩标砖 240×115×53,页岩标砖 240×115×53,千块,千块,100,
Material,1300067,1102201,名称单位匹配,页岩空心砖 240×240×115,页岩空心砖 240×240×115,千块,千块,100,
Material,1300068,1102421,名称单位匹配,页岩多孔砖 240×115×90,页岩多孔砖 240×115×90,千块,千块,100,
Material,1300069,1102641,名称单位匹配,黏土空心砖 240×115×90,黏土空心砖 240×115×90,千块,千块,100,
Material,1300070,1102861,名称单位匹配,黏土空心砖 178×115×90,黏土空心砖 178×115×90,千块,千块,100,
Material,1300072,1104841,名称单位匹配,陶粒空心砌块,陶粒空心砌块,m3,m3,100,
Material,1300074,1106161,人工审核使用best_candidate,190厚混凝土小型空心砌块,混凝土小型空心砌块 δ=190,m3,m3,100,1=使用best_candidate
Material,1300076,1105281,规范化名称匹配,泡沫混凝土砌块  390×90×190,泡沫混凝土砌块 390×90×190,千块,千块,98,
Material,1300077,1105501,规范化名称匹配,泡沫混凝土砌块  190×90×190,泡沫混凝土砌块 190×90×190,千块,千块,98,
Material,1300078,1105721,规范化名称匹配,泡沫混凝土砌块  390×190×190,泡沫混凝土砌块 390×190×190,千块,千块,98,
Material,1300085,1103521,规范化名称匹配,蒸压灰砂砖  240×115×53,蒸压灰砂砖 240×115×53,千块,千块,98,
Material,1300086,1103741,规范化名称匹配,蒸压粉煤灰砖  240×115×53,蒸压粉煤灰砖 240×115×53,千块,千块,98,
Material,1300202,1120001,名称单位匹配,瓷砖 150×150×8,瓷砖 150×150×8,m2,m2,100,
Material,1300206,1124357,名称单位匹配,陶瓷锦砖,陶瓷锦砖,m2,m2,100,
Material,1300215,1120991,规范化名称匹配,抛光地面砖  600×600,抛光地面砖 600×600,m2,m2,98,
Material,1300230,1211555,名称单位匹配,三元乙丙橡胶防水卷材 δ=1.5,三元乙丙橡胶防水卷材 δ=1.5,m2,m2,100,
Material,1300237,1211777,名称单位匹配,氯化聚乙烯防水卷材 δ=1.5,氯化聚乙烯防水卷材 δ=1.5,m2,m2,100,
Material,1300240,1212221,名称单位匹配,SBS改性沥青油毡防水卷材 δ=3,SBS改性沥青油毡防水卷材 δ=3,m2,m2,100,
Material,1300244,1214293,名称单位匹配,高密度聚乙烯防水卷材 δ=1.2,高密度聚乙烯防水卷材 δ=1.2,m2,m2,100,
Material,1300253,1121189,名称单位匹配,缸砖 150×150×15,缸砖 150×150×15,m2,m2,100,
Material,1300255,1121387,名称单位匹配,广场地砖,广场地砖,m2,m2,100,
Material,1300257,1121783,人工审核使用best_candidate,石塑防滑地砖,石塑防滑地砖 300×300,m2,m2,100,1=使用best_candidate
Material,1300259,1122179,人工审核使用best_candidate,金属釉面砖,金属釉面砖 150×200,m2,m2,100,1=使用best_candidate
Material,1300260,1122377,人工审核指定电算代号,釉面砖0.015m2以内,釉面砖 ≤150×100,m2,m2,100,L列指定电算代号
Material,1300261,1122575,人工审核指定电算代号,釉面砖0.015m2以外,釉面砖 ＞150×100,m2,m2,100,L列指定电算代号
Material,1300262,1122773,人工审核指定电算代号,釉面砖0.06m2以内,釉面砖 ≤600×100,m2,m2,100,L列指定电算代号
Material,1300263,1122971,人工审核指定电算代号,釉面砖0.06m2以外,釉面砖 ＞600×100,m2,m2,100,L列指定电算代号
Material,1300266,1123169,规范化名称匹配,陶瓷地面砖300×300,陶瓷地面砖 300×300,m2,m2,98,
Material,1300268,1123565,规范化名称匹配,陶瓷地面砖600×600,陶瓷地面砖 600×600,m2,m2,98,
Material,1300270,1123961,规范化名称匹配,陶瓷地面砖1000×1000,陶瓷地面砖 1000×1000,m2,m2,98,
Material,1300419,1126139,规范化名称匹配,水泥铺地砖250×250×50,水泥铺地砖 250×250×50,千块,千块,98,
Material,1300420,1126337,规范化名称匹配,水泥铺地砖300×300×60,水泥铺地砖 300×300×60,千块,千块,98,
Material,1300422,1126733,规范化名称匹配,水泥铺地砖550×550×80,水泥铺地砖 550×550×80,千块,千块,98,
Material,1300423,4032223,规范化名称匹配,石板495×355×12,石板 495×355×12,m2,m2,98,
Material,1300424,1126931,规范化名称匹配,水泥六角砖250×60,水泥六角砖 250×60,千块,千块,98,
Material,1300453,1108581,名称单位匹配,连锁砌块 6cm,连锁砌块 6cm,m2,m2,100,
Material,1300454,1108801,名称单位匹配,连锁砌块 8cm,连锁砌块 8cm,m2,m2,100,
Material,1310002,1110001,名称单位匹配,机制脊瓦 455×195,机制脊瓦 455×195,千块,千块,100,
Material,1310014,1112151,名称单位匹配,彩色水泥瓦,彩色水泥瓦,m2,m2,100,
Material,1310016,1113011,名称单位匹配,多彩油毡瓦,多彩油毡瓦,m2,m2,100,
Material,1310106,1114301,名称单位匹配,琉璃瓦片,琉璃瓦片,块,块,100,
Material,1310107,1114731,名称单位匹配,琉璃瓦筒,琉璃瓦筒,块,块,100,
Material,1310108,1115161,名称单位匹配,琉璃满面筒 215×245,琉璃满面筒 215×245,块,块,100,
Material,1310109,1115591,名称单位匹配,琉璃满面筒 110×265,琉璃满面筒 110×265,块,块,100,
Material,1310110,1116021,名称单位匹配,琉璃瓦脊 140×225,琉璃瓦脊 140×225,块,块,100,
Material,1400003,1225873,名称单位匹配,钢筋混凝土管 d200,钢筋混凝土管 d200,m,m,100,
Material,1400004,1225881,名称单位匹配,钢筋混凝土管 d250,钢筋混凝土管 d250,m,m,100,
Material,1400005,1225889,名称单位匹配,钢筋混凝土管 d300,钢筋混凝土管 d300,m,m,100,
Material,1400007,1225905,名称单位匹配,钢筋混凝土管 d400,钢筋混凝土管 d400,m,m,100,
Material,1400009,1225921,名称单位匹配,钢筋混凝土管 d500,钢筋混凝土管 d500,m,m,100,
Material,1400010,1225929,名称单位匹配,钢筋混凝土管 d600,钢筋混凝土管 d600,m,m,100,
Material,1400012,1225945,名称单位匹配,钢筋混凝土管 d800,钢筋混凝土管 d800,m,m,100,
Material,1400014,1225961,名称单位匹配,钢筋混凝土管 d1000,钢筋混凝土管 d1000,m,m,100,
Material,1400052,1226033,名称单位匹配,钢筋混凝土顶管 d1500,钢筋混凝土顶管 d1500,m,m,100,
Material,1400101,1226049,名称单位匹配,钢筋混凝土管 承插口 d300,钢筋混凝土管 承插口 d300,m,m,100,
Material,1400102,1226057,名称单位匹配,钢筋混凝土管 承插口 d400,钢筋混凝土管 承插口 d400,m,m,100,
Material,1400103,1226065,名称单位匹配,钢筋混凝土管 承插口 d500,钢筋混凝土管 承插口 d500,m,m,100,
Material,1400104,1226073,名称单位匹配,钢筋混凝土管 承插口 d600,钢筋混凝土管 承插口 d600,m,m,100,
Material,1400106,1226089,名称单位匹配,钢筋混凝土管 承插口 d800,钢筋混凝土管 承插口 d800,m,m,100,
Material,1400108,1226105,名称单位匹配,钢筋混凝土管 承插口 d1000,钢筋混凝土管 承插口 d1000,m,m,100,
Material,1400110,1226121,名称单位匹配,钢筋混凝土管 承插口 d1200,钢筋混凝土管 承插口 d1200,m,m,100,
Material,1400111,1226129,名称单位匹配,钢筋混凝土管 承插口 d1400,钢筋混凝土管 承插口 d1400,m,m,100,
Material,1400112,1226137,名称单位匹配,钢筋混凝土管 承插口 d1600,钢筋混凝土管 承插口 d1600,m,m,100,
Material,1400113,1226145,名称单位匹配,钢筋混凝土管 承插口 d1800,钢筋混凝土管 承插口 d1800,m,m,100,
Material,1400114,1226153,名称单位匹配,钢筋混凝土管 承插口 d2000,钢筋混凝土管 承插口 d2000,m,m,100,
Material,1405005,1130217,名称单位匹配,钢筋混凝土方桩,钢筋混凝土方桩,m3,m3,100,
Material,1405100,1130541,名称单位匹配,预应力混凝土管桩AB型 d400 δ=95,预应力混凝土管桩AB型 d400 δ=95,m,m,100,
Material,1405101,1130649,名称单位匹配,预应力混凝土管桩AB型 d500 δ=100,预应力混凝土管桩AB型 d500 δ=100,m,m,100,
Material,1405103,1130757,名称单位匹配,预应力混凝土管桩AB型 d600 δ=110,预应力混凝土管桩AB型 d600 δ=110,m,m,100,
Material,1406106,1136913,名称单位匹配,架空隔热板 500×500×30,架空隔热板 500×500×30,m3,m3,100,
Material,1410007,1131297,规范化名称匹配,预应力混凝土电杆 Φ190×10000,预应力混凝土电杆 φ190×10000,根,根,98,
Material,1410009,1131513,规范化名称匹配,预应力混凝土电杆 Φ190×12000,预应力混凝土电杆 φ190×12000,根,根,98,
Material,1410010,1131621,规范化名称匹配,预应力混凝土电杆 Φ190×13000,预应力混凝土电杆 φ190×13000,根,根,98,
Material,1410012,1131837,规范化名称匹配,预应力混凝土电杆 Φ190×18000,预应力混凝土电杆 φ190×18000,根,根,98,
